13468,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Data Strategy,2,1,2,1,2
13469,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Corporate Strategy,2,1,2,1,2
13470,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Competitive Strategy,2,1,2,1,2
13471,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Business Case Writing,2,1,2,1,2
13472,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Product Development,1,1,2,1,2
13473,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Project Management,1,1,2,0,2
13474,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Program Management ,1,1,2,0,2
13475,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership","Financial Analysis (DCF, NPV, ROI, Cost Benefit Analysis, Market Research)",2,,2,1,2
13476,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Sensitivity Analysis,3,,2,1,2
13477,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership","Go to Market (GTM Strategy, Outreach, RFP Response, SOW writing, Relationship Mgmt., Salesforce)",2,,2,1,2
13478,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Orals Experience,3,,2,,2
13479,117,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Recruiting,2,1,2,0,2
13480,117,CORE CONSULTING,1,Functional Experience,Public Speaking,1,3,2,1,2
13481,117,CORE CONSULTING,1,Functional Experience,Product Management ,1,3,1,3,2
13482,117,CORE CONSULTING,1,Functional Experience,Sales & Marketing,2,,2,1,2
13483,117,CORE CONSULTING,1,Functional Experience,Project Management,1,1,1,0,2
13484,117,CORE CONSULTING,1,Functional Experience,Dev Ops,1,3,2,2,2
13485,117,CORE CONSULTING,1,Functional Experience,Finance,3,,2,1,2
13486,117,CORE CONSULTING,1,Functional Experience,Operations,3,,2,0,2
13487,117,CORE CONSULTING,1,Functional Experience,HR,3,,2,0,2
13488,117,CORE CONSULTING,1,Functional Experience,Supply Chain & Inventory Management,3,,2,1,2
13489,117,CORE CONSULTING,1,Industry Vertical Experience,High Tech,1,3,2,2,2
13490,117,CORE CONSULTING,1,Industry Vertical Experience,Financial Services,3,,2,1,2
13491,117,CORE CONSULTING,1,Industry Vertical Experience,Communications / Telecom,1,3,2,2,2
13492,117,CORE CONSULTING,1,Industry Vertical Experience,Retail,1,1,2,1,2
13493,117,CORE CONSULTING,1,Industry Vertical Experience,Healthcare & Life Sciences,3,,2,1,2
13494,117,CORE CONSULTING,1,Industry Vertical Experience,Media & Entertainment,3,,2,1,2
13495,117,CORE CONSULTING,1,Industry Vertical Experience,Manufacturing,3,,2,0,2
13496,117,CORE CONSULTING,1,Industry Vertical Experience,PubSec,3,,2,0,2
