id,emp id,core comp,categ,tool_cap,skills,exp,Level,cert,interest,
10995,100,CORE CONSULTING,1,"Core Consulting, Finance, Leadership","Financial Analysis (DCF, NPV, ROI, Cost Benefit Analysis, Market Research)",1,8,2,2 - Engage,2
10996,100,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Sensitivity Analysis,2,7,2,1 - Develop,2
10997,100,CORE CONSULTING,1,"Core Consulting, Finance, Leadership","Go to Market (GTM Strategy, Outreach, RFP Response, SOW writing, Relationship Mgmt., Salesforce)",1,9,2,2 - Engage,2
10998,100,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Orals Experience,1,9,2,2 - Engage,2
10999,100,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Recruiting,1,7,2,1 - Develop,2
11000,100,CORE CONSULTING,1,Functional Experience,Public Speaking,1,8,2,1 - Develop,2
11001,100,CORE CONSULTING,1,Functional Experience,Product Management ,1,9,2,2 - Engage,2
11002,100,CORE CONSULTING,1,Functional Experience,Sales & Marketing,1,8,2,1 - Develop,2
11003,100,CORE CONSULTING,1,Functional Experience,Project Management,1,9,2,3 - Accelerate,2
11004,100,CORE CONSULTING,1,Functional Experience,Dev Ops,1,7,2,1 - Develop,2
11005,100,CORE CONSULTING,1,Functional Experience,Finance,1,8,2,2 - Engage,2
11006,100,CORE CONSULTING,1,Functional Experience,Operations,1,8,2,2 - Engage,2
11007,100,CORE CONSULTING,1,Functional Experience,HR,1,8,2,2 - Engage,2
11008,100,CORE CONSULTING,1,Functional Experience,Supply Chain & Inventory Management,1,6,2,1 - Develop,2
11009,100,CORE CONSULTING,1,Industry Vertical Experience,High Tech,1,9,2,2 - Engage,2
11010,100,CORE CONSULTING,1,Industry Vertical Experience,Financial Services,2,7,2,1 - Develop,2
11011,100,CORE CONSULTING,1,Industry Vertical Experience,Communications / Telecom,1,8,2,1 - Develop,2
11012,100,CORE CONSULTING,1,Industry Vertical Experience,Retail,1,8,2,2 - Engage,2
11013,100,CORE CONSULTING,1,Industry Vertical Experience,Healthcare & Life Sciences,3,6,2,1 - Develop,2
11014,100,CORE CONSULTING,1,Industry Vertical Experience,Media & Entertainment,3,6,2,1 - Develop,2
11015,100,CORE CONSULTING,1,Industry Vertical Experience,Manufacturing,3,6,2,1 - Develop,2
